id,title,description,type,release_year,genres,directors,actors
3168,once upon a time in lingjian mountain,"a story that follows wang lu, a young genius, who enters the spirit blade sect and embarks on an unconventional journey towards immortal cultivation. the spirit blade sect was established in the year 4233. through years of producing martial arts prodigies, it has been hailed as one of the five great sects. as the nine continents face a crisis, a genius by the name of wang lu joins the spirit blade sect and comes under the tutelage wang wu. despite wang wu's beauty, she is hundreds of years in age. famous for having a sharp tongue and an erratic temper, she and her disciple wang lu engage in endless squabbles while trudging on a path to becoming the strongest sage in all the lands.  adapted from the manga ""spirit blade mountain"" written by xian man dong man.",show,2019,action|scifi|comedy|drama|fantasy|romance,yu-chung-chung,xu-kai|sandrine-pinna|ryan-zhu|gao-yu-er|cristy-guo|roger-kwok|james-wen|zheng-yawen|shaogang-zhang
3169,keeping the bees,"ayşe returns to her hometown in northeastern turkey to nurse her gravely ill mother. before she dies, ayse’s mother tells her that she will leave ayse her much loved bee hives to manage. ayse’s modern life has moved her away from the mountains of her childhood – a life in which the bees and their honey were central. but she puts her city life on hold to manage the bees, which provide a distraction from her grief. ayse slowly starts to work with the local bee keeper to manage the hives but finds the lessons of her childhood are buried deep and the hives are more difficult to manage than she remembers. ayse’s failure to pay needful attention to local advice sees her mothers bee hives seriously damaged, if not lost forever. what’s more a caucasian bear becomes a real threat to her hives and her life.",movie,2019,drama,,meryem-uzerli|feyyaz-duman|hakan-karsak|burcu-salihoglu|sennur-nogaylar
3170,girls with balls,"all girls volley ball team the falcons end up stranded in the middle of nowhere after their mini-van breaks down. little do they know they landed in degenerate hunters' territory and the hunt is on. thus begins a very long night where they must run for their lives and test their team spirit. but the girls are more resourceful than it appears. in the heart of the forest, the tables are about to turn between hunter and hunted...",movie,2019,horror|comedy|european,olivier-afonso,artus|manon-azem|louise-blachère|tiphaine-daviot|margot-dufrene|anne-solenne-hatte|camille-razat|dany-verissimo-petit|denis-lavant|orelsan|mathieu-madénian|thomas-vandenberghe|guillaume-canet|joffrey-verbruggen|tony-corvillo|fermí-herrero|oriol-ramis|albert-boira|inti-canibal
3171,37 seconds,"in 37 seconds, 23-year-old comic book artist yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness.",movie,2019,drama,hikari,mei-kayama|misuzu-kanno|shunsuke-daitoh|makiko-watanabe|yoshihiko-kumashino|minori-hagiwara|haruka-imou|kiyohiko-shibukawa|shohei-uno|eita-okuno|shizuka-ishibashi|toshinori-omi|yuka-itaya|nanami-kawakami
3172,single slipper size - 7,an emotionally unstable murder suspect explains the modus operandi behind the crimes he had committed to a few cops which helps in unfolding some intriguing revelation.,movie,2019,thriller|drama,r.-parthiban,r.-parthiban|gayathrie-shankar|deepa-venkat
3173,the little switzerland,the discovery of the tomb of william tell’s son in a town in the basque country spurs the village's cantankerous citizens to lobby for swiss annexation.,movie,2019,comedy|european,kepa-sojo,ingrid-garcía-jonsson|maggie-civantos|jon-plazaola|secun-de-la-rosa|ramón-barea|antonio-resines|enrique-villén|lander-otaola|karra-elejalde|mikel-losada|maribel-salas|kandido-uranga|susana-soleto
3174,the man without gravity,a gravity-defying boy raised in seclusion matures into an extraordinary man -- and an international celebrity -- who longs for human connection.,movie,2019,fantasy|drama|comedy,marco-bonfanti,elio-germano|michela-cescon|silvia-d'amico|elena-cotta|vincent-scarito|pietro-pescara|jennifer-brokshi|andrea-pennacchi|cristina-donadio|dieter-michael-grohmann|dominique-lombardo|francesco-procopio|salvio-simeoli|agnieszka-jania|balkissa-souley-maiga|giorgia-spinelli|jean-marie-de-bol|maria-angela-tonetti|chiara-ingrosso|chiara-sartori|fabio-lovino|manuela-parodi|fulvio-milani|helena-chambon
3175,rubaru roshni,"the movie traces three real-life incidents that took place in '80s, 90s and 2000s respectively through the stories titled 'orphan and the convict', 'the farmer and the nun' and 'the terror and the mom'.",movie,2019,documentation,,aamir-khan
3176,dancing with the birds,"some of the world's most majestic birds display delightfully captivating mating rituals, from flashy dancing to flaunting their colorful feathers.",movie,2019,documentation,huw-cordey,stephen-fry
3177,soni,"soni, a young policewoman in delhi, and her superintendent, kalpana, have collectively taken on a growing crisis of violent crimes against women. however, their alliance suffers a major setback when soni is transferred out for alleged misconduct on duty.",movie,2019,crime|drama,ivan-ayr,geetika-vidya-ohlyan|saloni-batra|vikas-shukla|himanshu-kohli
