id,title,description,type,release_year,genres,directors,actors
3815,kingdom,"in this zombie thriller set in korea's medieval joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. the crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",show,2019,action|scifi|thriller|history|drama|horror,,ju-ji-hoon|ryu-seung-ryong|bae-doona|kim-sang-ho|kim-sung-kyu|jun-suk-ho|kim-hye-jun|park-byung-eun|kim-tae-hun|heo-joon-ho
3816,a shaun the sheep movie: farmageddon,"when an alien with amazing powers crash-lands near mossy bottom farm, shaun the sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",movie,2019,family|comedy|animation|fantasy|scifi,richard-phelan|will-becher,justin-fletcher|john-sparkes|amalia-vitale|kate-harbour|david-holt|andy-nyman|richard-webber|emma-tate|simon-greenall|chris-morrell|joe-sugg|brian-cox|tim-hands|joseph-balderrama|ron-halpern
3817,miracle in cell no. 7,a story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. prison will be their home. based on the 2013 korean movie miracle in cell no. 7 (2013).,movie,2019,drama,mehmet-ada-öztekin,aras-bulut-i̇ynemli|nisa-sofiya-aksongur|i̇lker-aksum|mesut-akusta|yıldıray-şahinler|yurdaer-okur|sarp-akkaya|deniz-baysal|deniz-celiloğlu|ferit-kaya|doğukan-polat|emre-yetim|serhan-onat|gülçin-kültür-şahin|serdar-akülker|hayal-köseoğlu|nadi-güler|özgür-dereli|cankat-aydos|serhat-üstündağ|basri-albayrak|özgür-avşar|mert-zaim|celile-toyon-uysal|mustafa-dok|botan-aslan
3818,1994,"archival video and new interviews examine mexican politics in 1994, a year marked by the rise of the ezln and the assassination of luis donaldo colosio.",show,2019,documentation|history,,luis-donaldo-colosio|carlos-salinas-de-gortari
3819,fast & furious spy racers,a government agency recruits teen driver tony toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,show,2019,family|animation|action|drama|comedy|crime,,tyler-posey|camille-ramsey|luke-youngblood|jorge-diaz|renée-elise-goldsberry
3820,the irishman,"pennsylvania, 1956. frank sheeran, a war veteran of irish origin who works as a truck driver, accidentally meets mobster russell bufalino. once frank becomes his trusted man, bufalino sends him to chicago with the task of helping jimmy hoffa, a powerful union leader related to organized crime, with whom frank will maintain a close friendship for nearly twenty years.",movie,2019,crime|drama|history|thriller,martin-scorsese,robert-de-niro|al-pacino|joe-pesci|stephen-graham|ray-romano|harvey-keitel|bobby-cannavale|anna-paquin|stephanie-kurtzuba|kathrine-narducci|welker-white|jesse-plemons|jack-huston|domenick-lombardozzi|paul-herman|louis-cancelmi|gary-basaraba|marin-ireland|sebastian-maniscalco|steven-van-zandt|lucy-gallina|jonathan-morris|dascha-polanco|bo-dietl|aleksa-palladino|daniel-h.-jenkins|jim-norton|billy-smith|kevin-o'rourke|action-bronson|glenn-cunningham|paul-ben-victor|patrick-gallo|james-martin|jake-hoffman|barry-primus|danny-a.-abeckaser|anthony-j.-gallo|j.-c.-mackenzie|joseph-bono|jamil-antonio-stefan|louis-vanaria|craig-vincent|john-polce|joseph-riccobene|vinny-vella|thomas-e.-sullivan|john-cenatiempo|robert-mladinich|rich-reilly|robert-funaro|tess-price|jennifer-mudge|india-ennenga|jordyn-dinatale|kate-arrington|bernie-martin|philip-suriano|tony-suriano|jason-a.-iannacone|michael-c.-brennan|james-p.-harkins|al-linea|garry-pastore|frank-pietrangolare|frank-aquilino|johnny-t.-sollitto|patrick-murney|samantha-soule|richard-v.-licata|vito-picone|larry-mazza|craig-difrancia|ira-drukier|jon-bruno|paul-borghese|steven-maglio|james-licata|veronica-alicino|mike-massimino|james-ciccone|ron-castellano|marco-greco|meghan-rafferty|aldo-sergi|james-lorinz|jeffrey-paul|robert-c.-kirk|vince-maritato|lawrence-smith|rebecca-faulkenberry|ken-wulf-clark|john-rue|steve-routman|fernando-vera|peter-claymore|charles-delgatto|michael-gongora|eugene-bunge|matthew-f.-o'connor|cliff-moylan|vincenzo-delriccio|steve-beauchamp|alfred-sauchelli-jr.|joe-giorgio|diana-agostini|lauren-aparicio|kelley-rae-o'donnell|john-garrett-greer|jack-caruso|john-scurti|thomas-j.-jenkins|steve-witting|luke-smith|brent-langdon|james-d.-forsha|giacomino-j.-matra|paul-pearlman|cilda-shaur|dominick-laruffa-jr.|erick-zamora|lou-martini-jr.|michael-bottari|john-bianco|margaret-anne-florence|siena-marino|lori-arkin|nicholas-chrysan|samantha-coppola|logan-crawford|jeff-dehart|mark-fairchild|blaise-corrigan|jill-brown|tim-neff|matt-walton|peter-j.-fernandez|stephen-mailer|gino-cafarelli|robin-kerbis|lucia-giannetta|michael-romeo-ruocco|anne-horak|nina-lafarga|clark-carmichael|joseph-russo|jeremy-luke|barbara-eyland|tracy-j.-everitt|saint-marino|mario-corry|johnny-potenza|joe-passaro|patrick-borriello|alfred-nittoli|david-aaron-baker|stanley-burns|bill-timoney|thomas-j.-mcdonald|ernest-l.-sanders-jr.|bill-mchugh|kevin-kane|amelia-brain|craig-'radioman'-castaldo|jacqueline-kennedy|john-f.-kennedy|fidel-castro|michael-iacono|dean-ciallella|vanessa-mitchell|tommy-bayiokos|michael-cullum|rick-bolander
3821,the unxplained,"the show will explore the facts behind the world's most fascinating, strange and inexplicable mysteries.",show,2019,documentation,,william-shatner
3822,basketball or nothing,the lives of the chinle high school boys' basketball team based on the navajo nation reservation in arizona.,show,2019,documentation|sport,,
3823,blown away,a reality show featuring glass blowers from around the world competing to be the best. one artist is dismissed after each episode/challenge.,show,2019,reality|comedy|history|documentation,,nick-uhas|katharine-gray
3824,marianne,"when a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",show,2019,thriller|drama|horror,,victoire-du-bois|lucie-boujenah|tiphaine-daviot|ralph-amoussou|mehdi-meskar|bellamine-abdelmalek|alban-lenoir|luna-lou
3825,are you afraid of the dark?,"each season of this horror anthology series follows a different group of kids, members of the midnight society, as they discover terrifying curses and creatures.",show,2019,thriller|horror|family|drama|fantasy,,lyliana-wray|sam-ashe-arnold|miya-cech|jeremy-ray-taylor|tamara-smart|rafael-casal
3826,pup academy,welcome to a secret world where pups learn to be a human's best friend: pup academy. follow three unlikely puppies - and their human friends - as they work together to discover the power of friendship and create everlasting bonds between dogs and humans.,show,2019,family|comedy,,christian-convery|chance-hurstfield|dylan-schombing|travis-turner
3827,conversations with a killer: the ted bundy tapes,"a unique look inside the mind of an infamous serial killer with this cinematic self-portrait crafted from statements made by ted bundy, including present-day interviews, archival footage and audio recordings from death row.",show,2019,documentation|crime|history,joe-berlinger,ted-bundy|stephen-michaud|hugh-aynesworth
3828,her private life,"an art curator's life unravels, as she tries to keep her pastime as a die-hard k-pop fan secret from her gallery's new director.",show,2019,comedy|drama|romance,hong-jong-chan,park-min-young|kim-jae-wook|ahn-bo-hyun|park-jin-joo|jung-jae-won|lee-il-hwa|kim-sun-young|maeng-sang-hun|hong-seo-young|kim-mi-kyeong|park-myung-shin|im-ji-gyu|kim-bo-ra|jung-won-chang|park-ji-sun|seo-ye-hwa
3829,the witcher,"geralt of rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",show,2019,scifi|action|horror|drama|fantasy,,henry-cavill|anya-chalotra|freya-allan|mimi-ndiweni
3830,rocks,a young teenage girl finds herself struggling to take care of herself and her younger brother after being abandoned by their single mother with no choice but to live out on the streets.,movie,2019,drama,sarah-gavron,bukky-bakray|kosar-ali|d'angelou-osei-kissiedu|shaneigha-monik-greyson|ruby-stokes|tawheda-begum|afi-okaidja|anastasia-dymitrow|sarah-niles|layo-christina-akinlude|sharon-d.-clarke|islah-abdur-rahman|shola-adewusi|mohammad-amiri|tina-chiang|kate-isitt|aneta-piotrowska|kaine-zajaz|umit-ulgen|curtis-walker
3831,synchronic,"two new orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",movie,2019,crime|drama|horror|scifi|thriller,aaron-moorhead|justin-benson,anthony-mackie|jamie-dornan|katie-aselton|alexia-ioannides|ramiz-monsef|bill-oberst-jr.|betsy-holt|shane-brady|kate-adair|matthew-underwood|carl-palmer|martin-bats-bradford|sam-malone|rhonda-johnson-dents|sophie-howell|natasha-tina-liu|walker-babington|lawrence-turner|hawn-tran|gregory-bright|devyn-a.-tyler|aaron-groben|divine-prince-ty-emmecca
3832,beastars,"in a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",show,2019,animation|drama|crime|fantasy|romance|thriller,,chikahiro-kobayashi
3833,v wars,"after a mysterious disease begins transforming people into vampires, dr. luther swann is pitted against his best friend, now a powerful vampire leader.",show,2019,scifi|drama|horror,,ian-somerhalder|adrian-holmes|jacky-lai|kyle-breitkopf|kimberly-sue-murray
3834,the gentlemen,"american expat mickey pearson has built a highly profitable marijuana empire in london. when word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",movie,2019,crime|action|comedy,guy-ritchie,matthew-mcconaughey|charlie-hunnam|henry-golding|michelle-dockery|jeremy-strong|colin-farrell|hugh-grant|eddie-marsan|chidi-ajufo|simon-r.-barker|brittany-ashworth|jason-wong|jordan-long|mike-bodnar|christopher-evangelou|eliot-sumner|chloe-arrowsmith|russell-balogh|steve-barnett|jordan-long|max-bennett|bruce-chong|danny-griffin|togo-igawa|jack-jones|eugenia-kuzmina|lyne-renee|james-warren|elle-black|tom-wu|geraldine-somerville|jason-lines|bugzy-malone|john-dagleish
3835,lunana: a yak in the classroom,a teacher struggling for inspiration travels to the most remote school in the world. it takes being so far away to understand the importance of his work... and to appreciate the value of yak dung!,movie,2019,drama|family,pawo-choyning-dorji,sherab-dorji|ugyen-norbu-lhendup|keldon-lhamo-gurung|pem-zam|chimi-dem|kunzang-wangdi|tshering-dorji|sangay-lham|oriana-chen|dophu|art-finch|dorji-om|tandin-sonam|sonam-tashi|kunzang-wangdi|tshering-zangmo|tsheri-zom
3836,fantastic fungi,"fantastic fungi is a descriptive time-lapse journey about the magical, mysterious and medicinal world of fungi and their power to heal, sustain and contribute to the regeneration of life on earth that began 3.5 billion years ago.",movie,2019,documentation,louie-schwartzberg,brie-larson|paul-stamets|michael-pollan|roland-griffiths|andrew-weil|mary-p.-cosmiano
3837,virgin river,"after seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of california, where she meets an intriguing man.",show,2019,drama|romance,,alexandra-breckenridge|martin-henderson|colin-lawrence|lauren-hammersley|tim-matheson|benjamin-hollingsworth
3838,the king,"england, 15th century. hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become henry v.",movie,2019,history|war|drama|romance,david-michôd,timothée-chalamet|joel-edgerton|sean-harris|tom-glynn-carney|lily-rose-depp|thomasin-mckenzie|robert-pattinson|ben-mendelsohn|andrew-havill|dean-charles-chapman|steven-elder|edward-ashley|stephen-fewell|tara-fitzgerald|tom-fisher|tom-lawrence|ivan-kaye|gábor-czap|josef-davies|roderick-hill|kurta-niké|nicholas-wittman|philip-rosch|lucas-hansen|tom-lacroix|cedric-cirotteau|jack-bandeira|kristóf-widder|vincent-latorre|bence-bakti|bardó-fenyvesi|henry-dent|harry-trevaldwyn|laurent-winkler|jeremy-chevillotte|thibault-de-montalembert|oscar-bennett
3839,ultraman,"decades ago, a hero from the stars left this world in peace. now, the son of ultraman must rise to protect the earth from a new alien threat.",show,2019,animation|action|scifi|fantasy|drama,kenji-kamiyama|shinji-aramaki,ryohei-kimura|takuya-eguchi|hideyuki-tanaka
3840,screwball,investigates the mlb's infamous doping scandal involving a nefarious clinician and his most famous client: the new york yankees' alex rodriguez.,movie,2019,history|documentation,billy-corben,bryan-blanco|frankie-diaz|jonathan-blanco|jake-alexander-martin|ian-mackles|blake-mccall|jake-stephens|samuel-kai-taylor|nicholas-ryan-hernandez|armando-bernal-iv|davion-figaro|jason-brockmann|brian-sanz|david-bolinger|andrew-dean-koch|jordan-clark|niko-koch|martín-fajardo|dylan-runge|daniel-font-wilets|jay-hendrix|blake-mclennan
3841,how to sell drugs online (fast),"how do you win back your girlfriend from the school drug dealer? for moritz, the answer is clear: sell better drugs. out of his teenage bedroom, he joins forces with his best friend lenny to launch what turns into an unexpectedly successful online drug market. soon, as accidental drug dealers, they’re faced with standard drug empire problems: meeting demand, quality control, and, most importantly: not getting caught.",show,2019,comedy|crime|drama|romance,,maximilian-mundt|lena-klenke|danilo-kamperidis|damian-hardung|leonie-wesselow|jolina-amely-trinks|roland-riebeling
3842,the dark crystal: age of resistance,"return to the world of thra, where three gelfling discover the horrifying secret behind the skeksis' power and set out to ignite the fires of rebellion and save their world.",show,2019,scifi|family|animation|fantasy|horror|drama|action,,anya-taylor-joy|nathalie-emmanuel|taron-egerton|mark-hamill|natalie-dormer|caitríona-balfe|neil-sterenberg|victor-yerrid|toby-jones|eddie-izzard|helena-bonham-carter|gugu-mbatha-raw|harris-dickinson|harvey-fierstein|shazad-latif|lena-headey|keegan-michael-key|donna-kimball|mark-strong|awkwafina|jason-isaacs|benedict-wong|simon-pegg
3843,quicksand,"after a tragedy at a school sends shock waves through a wealthy stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.",show,2019,drama|crime|thriller,,hanna-ardéhn|felix-sandman|david-dencik|rebecka-hemse|anna-björk|reuben-sallmander|helena-af-sandeberg|maria-sundbom|ella-rappich|william-spetz|arvid-sand
3844,when they see us,five teens from harlem become trapped in a nightmare when they're falsely accused of a brutal attack in central park.,show,2019,drama|crime|history,,jharrel-jerome|ethan-herisse|marquis-rodriguez|asante-blackk|caleel-harris|marsha-stephanie-blake|michael-kenneth-williams|john-leguizamo|aunjanue-ellis|niecy-nash|kylie-bunbury
3845,this changes everything,"an investigative look and analysis of gender disparity in hollywood, featuring accounts from well-known actors, executives and artists in the industry.",movie,2019,documentation,tom-donahue,rashida-jones|chloë-grace-moretz|natalie-portman|jessica-chastain|cate-blanchett|zoe-saldaña|reese-witherspoon|amandla-stenberg|ellen-pompeo|marisa-tomei|meryl-streep|marg-helgenberger|sharon-stone|gillian-anderson|rosario-dawson|heather-graham|mary-louise-parker|rose-mcgowan|geena-davis|tiffany-haddish|sandra-oh|taraji-p.-henson|yara-shahidi|amber-tamblyn|lena-dunham|alan-alda|amy-brenneman|judd-apatow|brit-marling|jackie-cruz|paul-feig|tracee-ellis-ross|matt-mcgorry|gabrielle-carteris|shonda-rhimes|patty-jenkins|jennifer-siebel-newsom|catherine-hardwicke|joey-soloway|mira-nair|kimberly-peirce|anita-hill|brenda-chapman|sherry-lansing|callie-khouri|deborah-kaplan|lesli-linka-glatter|victoria-alonso|lauren-shuler-donner|denise-di-novi|nina-jacobson|cherien-dabis|paula-weinstein|courtney-kemp-agboh|mara-brock-akil|stacy-title|julie-dash|susan-bay
3846,no good nick,"a family finds their lives turned upside down when a young, street-smart grifter shows up on their doorstep, claiming to be a distant relative.",show,2019,comedy|family|drama,,melissa-joan-hart|sean-astin|siena-agudong|lauren-lindsey-donzis|kalama-epstein
3847,interior design masters,aspiring interior designers transform a variety of spaces from dowdy to delightful as they vie for a life-changing contract with a top london hotel.,show,2019,reality,,michelle-ogundehin|alan-carr
3848,who killed little gregory?,"when their 4-year-old son is murdered, a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer.",show,2019,documentation|crime|thriller|drama,gilles-marchand,
3849,the umbrella academy,"a family of former child heroes, now grown apart, must reunite to continue to protect the world.",show,2019,comedy|drama|fantasy|scifi|action,,tom-hopper|emmy-raver-lampman|robert-sheehan|david-castañeda|elliot-page|aidan-gallagher|justin-h.-min|ritu-arya|colm-feore|génesis-rodríguez
3850,the silence,"with the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",movie,2019,drama|thriller|fantasy|horror|scifi|european,john-r.-leonetti,stanley-tucci|kiernan-shipka|miranda-otto|john-corbett|kate-trotter|kyle-breitkopf|dempsey-bryk|billy-maclellan|chris-whitby|barbara-gordon|zoe-doyle|cory-o'brien|alex-hatz|gregory-waters|sarah-abbott|kate-corbett|john-fray|konima-parkinson-jones|dan-duran|pat-kiernan|annika-pergament|helen-stevens|callum-shoniker|hannah-gordon|taylor-love|carson-durven|ryan-turner|luigi-raimondo
3851,rambo: last blood,"after fighting his demons for decades, john rambo now lives in peace on his family ranch in arizona, but his rest is interrupted when gabriela, the granddaughter of his housekeeper maría, disappears after crossing the border into mexico to meet her biological father. rambo, who has become a true father figure for gabriela over the years, undertakes a desperate and dangerous journey to find her.",movie,2019,drama|action|crime|thriller|western,adrian-grünberg,sylvester-stallone|paz-vega|sergio-peris-mencheta|adriana-barraza|yvette-monreal|joaquín-cosío|pascacio-lópez|óscar-jaenada|nicholas-wittman|jessica-madsen|louis-mandylor|fenessa-pineda|marco-de-la-o|álvaro-flores|úrsula-murayama|atanas-srebrev|rick-zingale|david-aguirre-firth|díana-bermudez|victor-baioco|dimitri-vegas|alexander-dimitrov|genie-kim|aaron-cohen|owen-davis|jamieson-urquhart|brayden-pindur|cathy-pulido|manuel-uriza|georgi-manchev|georgi-dimitrov|mirka-prieto|cuco-usín|domenic-charles-vargas|sheila-shah|simona-zdravkova|tanya-stefanova|velichka-georgieva|dobrinka-georgieva|ashli-dolat|gloria-georgieva|melani-petrova|nadejda-koleva|simona-yanusheva|jaklin|melin-edrinch|roza-georgieva|madlen-kovacheva|evelina-igova|daniel-mora|lyubomir-neykov
3852,special,a gay man with mild cerebral palsy decides to rewrite his identity as an accident victim and finally go after the life he wants.,show,2019,comedy|drama,,ryan-o'connell|punam-patel|jessica-hecht
3853,polar,"when a retiring assassin realizes that he is the target of a hit, he winds up back in the game going head to head with a gang of younger, ruthless killers.",movie,2019,action|drama|crime|thriller|european,jonas-åkerlund,mads-mikkelsen|vanessa-hudgens|katheryn-winnick|fei-ren|ruby-o.-fee|matt-lucas|robert-maillet|anthony-grant|josh-cruddas|lovina-yavari|ayisha-issa|pedro-miguel-arce|anastasia-marinina|richard-dreyfuss|inga-cadranel|jill-frappier|nia-roam|julian-richings|johnny-knoxville|roman-lebeau|dmitry-chepovetsky|sofia-grossi|marsha-mason|ken-hall|calwyn-shurgold|emily-debowski|jamillah-ross|michael-ayres|maria-nash|mason-moon-moorhouse|oksana-zilinskas|callum-shoniker|ava-augustin|connor-laidman|robert-clarke|craig-burnatowski|joe-delfin|yana-gold|drew-catherine|brandy-dawley|sima-fisher|pastel-supernova|carrie-eklund|lee-villeneuve|neven-pajkic|andrei-kovski|nobuya-shimamoto|matt-birman
3854,1br,"when sarah lucks into a sweet one-bedroom at asilo del mar apartments in los angeles, she think she's hit the jackpot. it's got plenty of space, friendly tenants, group bbqs and even a cute neighbour next door. all is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, lester. soon, sarah learns she didn't choose this apartment — it chose her.",movie,2019,thriller|drama|horror,david-marmor,nicole-brydon-bloom|giles-matthey|taylor-nichols|alan-blumenfeld|naomi-grossman|celeste-sullivan|susan-davis|clayton-hoff|earnestine-phillips|hailey-giles|andrea-gabriel|curtis-webster|sean-savadian|luke-pacheco|kevin-mulhare|daniel-mcdonald|suzshi-lang|mark-krenik|tracy-déchaux|evan-dickson|andrew-carrillo|jay-pennick|hannah-altman
3855,lunatics,this mockumentary series follows the peculiar lives of six eccentric -- and sometimes obscene -- misfits who march to their own beat.,show,2019,comedy,chris-lilley,chris-lilley
3856,eli,"a boy named eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. he soon begins experiencing supernatural forces, turning the supposedly safe facility into a haunted prison for him and his fellow patients.",movie,2019,horror|thriller|drama,ciarán-foy,charlie-shotwell|lili-taylor|kelly-reilly|max-martini|sadie-sink|deneen-tyler|katia-gomez|austin-foxx|parker-lovein|lou-beatty-jr.|jared-bankens|nathaniel-woolsey|kailia-posey
3857,trading paint,"a stock car racing legend is drawn back to the dirt track when his son, an aspiring driver, joins a rival racing team.",movie,2019,drama|thriller|action|sport|european,karzan-kader,john-travolta|shania-twain|michael-madsen|margaret-bowman|toby-sebastian|jonathan-aidan-cockrell|barry-corbin|jen-baker|rosabell-laurenti-sellers|kevin-dunn|buck-taylor|luis-da-silva-jr.|audrey-fafard|gioia-libardoni|chris-mullinax|faith-bruner|denny-méndez|rob-wolfe|corie-robinson|kurt-deimer|christian-hicks|randy-razook|luanne-stratton|tarin-breuner|leslie-sides
3858,the inbestigators,"when maudie, a ten-year-old puzzle prodigy, forms a detective agency with her classmates ezra, ava and kyle, no crime is left unsolved.",show,2019,comedy|crime|family,,abby-bergman|anna-cooke|aston-droomer|jamil-smyth-secka
3859,apache: the life of carlos tevez,this gritty dramatization of the life of carlos tevez shows his rise to soccer stardom amid the harrowing conditions in argentina's fuerte apache.,show,2019,crime|drama|sport|thriller,,balthazar-murillo|vanesa-gonzález|alberto-ajaka|sofía-gala-castiglione
3860,demon slayer: kimetsu no yaiba,"it is the taisho period in japan. tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. to make matters worse, his younger sister nezuko, the sole survivor, has been transformed into a demon herself. though devastated by this grim reality, tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",show,2019,scifi|action|animation|horror|fantasy|thriller,,natsuki-hanae|akari-kito|hiro-shimono|yoshitsugu-matsuoka|katsuyuki-konishi|miyuki-sawashiro
3861,the great hack,"data—arguably the world’s most valuable asset—is being weaponized to wage cultural and political wars. the dark world of data exploitation is uncovered through the unpredictable, personal journeys of players on different sides of the explosive cambridge analytica/facebook data story.",movie,2019,documentation|history,karim-amer|jehane-noujaim,brittany-kaiser|david-carroll|paul-olivier-dehaye|ravi-naik|julian-wheatland|carole-cadwalladr|christopher-wiley|paul-hilder|emma-graham-harrison|gill-phillips|sarah-donaldson|roger-mcnamee|alexander-nix|steve-bannon|mark-zuckerberg|donald-trump|ted-cruz|hillary-clinton|nigel-farage|muneeb-ibni-usuf
3862,formula 1: drive to survive,"drivers, managers and team owners live life in the fast lane -- both on and off the track -- during one cutthroat season of formula 1 racing.",show,2019,documentation|sport,,max-verstappen|lewis-hamilton|valtteri-bottas|sergio-pérez|carlos-sainz-jr.|lando-norris|charles-leclerc|daniel-ricciardo|pierre-gasly|fernando-alonso|esteban-ocon|sebastian-vettel|lance-stroll|yuki-tsunoda|george-russell|kimi-räikkönen|nicholas-latifi|antonio-giovinazzi|mick-schumacher|nikita-mazepin
3863,scary stories to tell in the dark,"mill valley, pennsylvania, halloween night, 1968. after playing a joke on a school bully, stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful bellows family, unleashing dark forces that they will be unable to control.",movie,2019,horror|thriller,andré-øvredal,zoe-colletti|dean-norris|michael-garza|gabriel-rush|gil-bellows|natalie-ganzhorn|austin-abrams|austin-zajur|kathleen-pollard|lorraine-toussaint|deborah-pollitt|victoria-fodor|marie-ward|mark-steger|javier-botet|troy-james|will-corno|kyle-labine|david-tompa|karen-glave|stephanie-belding|hume-baugh|jane-moffat|will-carr|amanda-smith|brandon-knox|rodrigo-fernandez-stoll|anna-fraser|alex-spencer|matthew-smith|daniel-gravelle|colton-gobbo|ajanae-stephenson|divan-meyer|lyndon-b.-johnson|richard-nixon|walter-cronkite
3864,tuca & bertie,free-spirited toucan tuca and self-doubting song thrush bertie are best friends -- and birds -- who guide each other through life's ups and downs.,show,2019,comedy|animation,,tiffany-haddish|ali-wong|steven-yeun
3865,black summer,"in the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",show,2019,scifi|thriller|action|drama|horror,,jaime-king|christine-lee|zoe-marlett
3866,anima,"in a short musical film directed by paul thomas anderson, thom yorke of radiohead stars in a mind-bending visual piece. best played loud.",movie,2019,music,paul-thomas-anderson,thom-yorke|dajana-roncione
3867,vinland saga,"for a thousand years, the vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. thorfinn, the son of one of the vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",show,2019,animation|action|drama|war|history,,yuto-uemura|naoya-uchida|kensho-ono|hiroki-yasumoto|akio-otsuka
3868,we die young,"lucas, a 14-year-old boy inducted into the gang life in washington d.c., is determined that his 10-year-old brother won't follow the same path. when an afghanistan war veteran comes into the neighborhood, an opportunity arises.",movie,2019,thriller|drama|action|crime|european,lior-geller,jean-claude-van-damme|david-castañeda|joana-metrass|elijah-rodriguez|nicholas-sean-johnny|charlie-macgechan|dean-john-wilson|jim-caesar|kerry-bennett|uriel-emil-pollack|pablo-scola|robyn-cara|jacob-scipio|joseph-long|tony-wreden|karlos-klaumannsmoller|gary-beadle|danny-sotto|petar-petrov|andy-raychev|evelin-kostova|niccolò-besio|owen-davis|sofia-weldon|laura-giosh|atanas-srebrev|alfonso-matos
3869,a cinderella story: christmas wish,"kat is an aspiring singer-songwriter who dreams of making it big. however, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire terrence wintergarden’s santa land.",movie,2019,music|romance|fantasy|comedy,michelle-johnston,laura-marano|gregg-sulkin|johannah-newmarch|lillian-doucet-roche|maddie-phillips|chanelle-peloso|trezzo-mahoro|cassandra-naud|isabella-gomez|barclay-hope|kiera-klassen|taz-vanrassel|dejan-loyola|scott-hislop
3870,ip man 4: the finale,"following the death of his wife, ip man travels to san francisco to ease tensions between the local kung fu masters and his star student, bruce lee, while searching for a better future for his son.",movie,2019,action|drama|history,wilson-yip,donnie-yen|wu-yue|vanness-wu|scott-adkins|danny-chan-kwok-kwan|vanda-lee|chris-collins|kent-cheng|ngo-ka-nin|mark-strange|lynn-hung|lo-meng|grace-englert|nicola-stuart-hill|zhou-xiaofei|li-di|cao-shi-ping|nico-amedeo|chan-siu-wah
3871,in the dark,"murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, tyson. when the police dismiss her story, she sets out with her dog, pretzel, to find the killer while also managing her colorful dating life and the job she hates at breaking blind — the guide-dog school owned by her overprotective parents.",show,2019,drama|comedy|action|crime|horror,,perry-mattfeld|morgan-krantz|casey-deidrick|keston-john|theodore-bhat|matt-murray|marianne-rendón
3872,"love, death & robots","terrifying creatures, wicked surprises and dark comedy converge in this nsfw anthology of animated stories presented by tim miller and david fincher.",show,2019,scifi|animation|thriller|horror|comedy|fantasy|drama|action,,
3873,michelle wolf: joke show,"comedian michelle wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from new york city.",movie,2019,comedy,lance-bangs,michelle-wolf
3874,marriage story,"a stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",movie,2019,drama|romance|comedy,noah-baumbach,adam-driver|scarlett-johansson|laura-dern|alan-alda|ray-liotta|julie-hagerty|merritt-wever|azhy-robertson|wallace-shawn|martha-kelly|mark-o'brien|julia-greer|matthew-maher|eric-berryman|mickey-sumner|jasmine-cephas-jones|gideon-glick|motell-gyn-foster|david-turner|raymond-j.-lee|mary-wiseman|pete-simpson|irene-choi|matthew-shear|becca-blackwell|brooke-bloom|hannah-dunne|mckinley-belcher-iii|roslyn-ruff|santiago-mallan|robert-smigel|amanda-rovner|carlos-jacott|sarah-jones|dean-wareham|bashir-salahuddin|vinny-chhibber|ayden-mayeri|erin-evans|lucas-neff|annie-hamilton|tunde-adebimpe|jordyn-curet|justin-claiborne|kyle-bornheimer|pilar-holland|emily-cass-mcdonnell|andrew-steven-hernandez|amir-talai|juan-alfonso|connie-marie-flores|jeremy-barber|rich-fulcher|mary-hollis-inboden|peter-oliver|bill-blair
